         86884 function calls (83281 primitive calls) in 32.940 CPU seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 _sortedlist.py:628(weaksortedset)
        1    0.000    0.000    0.000    0.000 _utilities.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _utilities.py:100(__new__)
        1    0.000    0.000    0.000    0.000 _utilities.py:127(annotatable_weakref)
        1    0.000    0.000    0.000    0.000 _utilities.py:151(lazy_property)
        2    0.000    0.000    0.000    0.000 _utilities.py:154(__init__)
        1    0.000    0.000    0.000    0.000 _utilities.py:70(_symbol)
        1    0.000    0.000    0.000    0.000 _utilities.py:72(__init__)
        1    0.000    0.000    0.000    0.000 _utilities.py:84(symbol)
        8    0.000    0.000    0.000    0.000 abc.py:102(register)
       37    0.000    0.000    0.000    0.000 abc.py:12(abstractmethod)
       41    0.000    0.000    0.000    0.000 abc.py:125(__instancecheck__)
    64/51    0.000    0.000    0.000    0.000 abc.py:145(__subclasscheck__)
       32    0.000    0.000    0.002    0.000 abc.py:83(__new__)
       73    0.000    0.000    0.000    0.000 abc.py:86(<genexpr>)
        1    0.001    0.001    0.011    0.011 app.py:10(<module>)
        2    0.000    0.000    0.001    0.000 app.py:1011(decorator)
        1    0.000    0.000    0.001    0.001 app.py:315(__init__)
       19    0.000    0.000    0.000    0.000 app.py:49(setupmethod)
        3    0.000    0.000    0.001    0.000 app.py:53(wrapper_func)
        1    0.000    0.000    0.000    0.000 app.py:600(make_config)
        1    0.000    0.000    0.000    0.000 app.py:614(auto_find_instance_path)
        1    0.000    0.000    0.000    0.000 app.py:66(Flask)
        1    0.000    0.000   32.717   32.717 app.py:722(run)
        3    0.000    0.000    0.001    0.000 app.py:891(add_url_rule)
        2    0.000    0.000    0.000    0.000 app.py:987(route)
        1    0.000    0.000    0.000    0.000 ascii.py:13(Codec)
        1    0.000    0.000    0.000    0.000 ascii.py:20(IncrementalEncoder)
        1    0.000    0.000    0.000    0.000 ascii.py:24(IncrementalDecoder)
        1    0.000    0.000    0.000    0.000 ascii.py:28(StreamWriter)
        1    0.000    0.000    0.000    0.000 ascii.py:31(StreamReader)
        1    0.000    0.000    0.000    0.000 ascii.py:34(StreamConverter)
        1    0.000    0.000    0.000    0.000 ascii.py:41(getregentry)
        1    0.000    0.000    0.000    0.000 ascii.py:8(<module>)
        7    0.000    0.000    0.000    0.000 atexit.py:37(register)
        1    0.000    0.000    0.000    0.000 atexit.py:6(<module>)
        1    0.000    0.000    0.001    0.001 base.py:10(<module>)
        1    0.000    0.000    0.000    0.000 base.py:30(Signal)
        1    0.000    0.000    0.000    0.000 base.py:376(NamedSignal)
        9    0.000    0.000    0.000    0.000 base.py:379(__init__)
        1    0.000    0.000    0.000    0.000 base.py:390(Namespace)
        9    0.000    0.000    0.000    0.000 base.py:393(signal)
        1    0.000    0.000    0.000    0.000 base.py:405(WeakNamespace)
       10    0.000    0.000    0.000    0.000 base.py:73(__init__)
        1    0.000    0.000    0.000    0.000 base64.py:3(<module>)
        1    0.000    0.000    0.000    0.000 bccache.py:112(BytecodeCache)
        1    0.000    0.000    0.000    0.000 bccache.py:16(<module>)
        1    0.000    0.000    0.000    0.000 bccache.py:190(FileSystemBytecodeCache)
        1    0.000    0.000    0.000    0.000 bccache.py:273(MemcachedBytecodeCache)
        1    0.000    0.000    0.000    0.000 bccache.py:60(Bucket)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        1    0.000    0.000    0.000    0.000 blueprints.py:11(<module>)
        1    0.000    0.000    0.000    0.000 blueprints.py:17(BlueprintSetupState)
        1    0.000    0.000    0.000    0.000 blueprints.py:79(Blueprint)
        1    0.000    0.000    0.000    0.000 calendar.py:126(Calendar)
        1    0.000    0.000    0.000    0.000 calendar.py:132(__init__)
        1    0.000    0.000    0.000    0.000 calendar.py:138(setfirstweekday)
        1    0.000    0.000    0.000    0.000 calendar.py:21(IllegalMonthError)
        1    0.000    0.000    0.000    0.000 calendar.py:255(TextCalendar)
        1    0.000    0.000    0.000    0.000 calendar.py:28(IllegalWeekdayError)
        1    0.000    0.000    0.000    0.000 calendar.py:372(HTMLCalendar)
        1    0.000    0.000    0.000    0.000 calendar.py:47(_localized_month)
        1    0.000    0.000    0.000    0.000 calendar.py:484(TimeEncoding)
        1    0.000    0.000    0.000    0.000 calendar.py:496(LocaleTextCalendar)
        2    0.000    0.000    0.000    0.000 calendar.py:52(__init__)
        1    0.000    0.000    0.000    0.000 calendar.py:531(LocaleHTMLCalendar)
        1    0.000    0.000    0.000    0.000 calendar.py:6(<module>)
        1    0.000    0.000    0.000    0.000 calendar.py:66(_localized_day)
        2    0.000    0.000    0.000    0.000 calendar.py:71(__init__)
        2    0.000    0.000    0.000    0.000 cluster.py:1019(listeners)
        1    0.000    0.000    0.000    0.000 cluster.py:102(NoHostAvailable)
        1    0.000    0.000    0.000    0.000 cluster.py:1094(Session)
        1    0.000    0.000    0.008    0.008 cluster.py:1221(__init__)
        1    0.000    0.000    0.003    0.003 cluster.py:1243(execute)
        1    0.000    0.000    0.000    0.000 cluster.py:127(run_in_executor)
        1    0.000    0.000    0.000    0.000 cluster.py:1291(execute_async)
        1    0.000    0.000    0.000    0.000 cluster.py:1332(_create_response_future)
        2    0.000    0.000    0.002    0.001 cluster.py:1480(add_or_renew_pool)
        1    0.000    0.000    0.000    0.000 cluster.py:151(Cluster)
        1    0.000    0.000    0.004    0.004 cluster.py:1564(set_keyspace)
        2    0.000    0.000    0.002    0.001 cluster.py:1624(submit)
        1    0.000    0.000    0.000    0.000 cluster.py:1633(UserTypeDoesNotExist)
        1    0.000    0.000    0.000    0.000 cluster.py:1642(_ControlReconnectionHandler)
        1    0.000    0.000    0.000    0.000 cluster.py:1689(ControlConnection)
        1    0.000    0.000    0.000    0.000 cluster.py:1713(__init__)
        1    0.000    0.000    0.052    0.052 cluster.py:1726(connect)
        1    0.000    0.000    0.000    0.000 cluster.py:1733(_set_new_connection)
        1    0.000    0.000    0.051    0.051 cluster.py:1745(_reconnect_internal)
        1    0.000    0.000    0.051    0.051 cluster.py:1768(_try_connect)
        1    0.002    0.002    0.078    0.078 cluster.py:18(<module>)
        1    0.000    0.000    0.026    0.026 cluster.py:1882(_refresh_schema)
        1    0.000    0.000    0.005    0.005 cluster.py:1999(_refresh_node_list_and_token_map)
        2    0.000    0.000    0.000    0.000 cluster.py:2074(_update_location_info)
        1    0.000    0.000    0.000    0.000 cluster.py:2123(wait_for_schema_agreement)
        1    0.000    0.000    0.000    0.000 cluster.py:2181(_get_schema_mismatches)
        1    0.000    0.000    0.000    0.000 cluster.py:2259(_Scheduler)
        1    0.000    0.000    0.000    0.000 cluster.py:2265(__init__)
        1    0.000    0.000    0.000    0.000 cluster.py:2337(ResponseFuture)
        1    0.000    0.000    0.000    0.000 cluster.py:2374(__init__)
        1    0.000    0.000    0.000    0.000 cluster.py:238(auth_provider)
        1    0.000    0.000    0.000    0.000 cluster.py:2389(_make_query_plan)
        1    0.000    0.000    0.000    0.000 cluster.py:2396(send_request)
        1    0.000    0.000    0.000    0.000 cluster.py:2409(_query)
        1    0.000    0.000    0.003    0.003 cluster.py:2728(result)
        1    0.000    0.000    0.000    0.000 cluster.py:2888(QueryExhausted)
        1    0.000    0.000    0.000    0.000 cluster.py:2899(PagedResult)
        1    0.000    0.000    0.001    0.001 cluster.py:378(__init__)
        1    0.000    0.000    0.000    0.000 cluster.py:553(get_max_requests_per_connection)
        1    0.000    0.000    0.000    0.000 cluster.py:596(get_max_connections_per_host)
        1    0.000    0.000    0.002    0.002 cluster.py:626(connection_factory)
        1    0.000    0.000    0.000    0.000 cluster.py:638(_make_connection_kwargs)
        1    0.000    0.000    0.064    0.064 cluster.py:652(connect)
        1    0.000    0.000    0.008    0.008 cluster.py:723(_new_session)
        2    0.000    0.000    0.000    0.000 cluster.py:983(add_host)
        1    0.000    0.000    0.000    0.000 code.py:174(InteractiveConsole)
        1    0.000    0.000    0.000    0.000 code.py:28(InteractiveInterpreter)
        1    0.000    0.000    0.000    0.000 code.py:3(<module>)
        4    0.000    0.000    0.000    0.000 codecs.py:77(__new__)
        1    0.000    0.000    0.000    0.000 codeop.py:124(Compile)
        1    0.000    0.000    0.000    0.000 codeop.py:139(CommandCompiler)
        1    0.000    0.000    0.000    0.000 codeop.py:57(<module>)
        1    0.000    0.000    0.000    0.000 collections.py:1(<module>)
        1    0.000    0.000    0.000    0.000 collections.py:19(OrderedDict)
       11    0.004    0.000    0.005    0.000 collections.py:223(namedtuple)
      457    0.000    0.000    0.000    0.000 collections.py:253(<genexpr>)
       56    0.000    0.000    0.000    0.000 collections.py:270(<genexpr>)
       56    0.000    0.000    0.000    0.000 collections.py:271(<genexpr>)
       41    0.000    0.000    0.001    0.000 collections.py:31(__init__)
      170    0.000    0.000    0.000    0.000 collections.py:47(__setitem__)
        1    0.000    0.000    0.000    0.000 compiler.py:10(<module>)
        1    0.000    0.000    0.000    0.000 compiler.py:101(Identifiers)
        1    0.000    0.000    0.000    0.000 compiler.py:138(Frame)
        9    0.000    0.000    0.000    0.000 compiler.py:1421(binop)
        3    0.000    0.000    0.000    0.000 compiler.py:1437(uaop)
        1    0.000    0.000    0.000    0.000 compiler.py:226(VisitorExit)
        1    0.000    0.000    0.000    0.000 compiler.py:230(DependencyFinderVisitor)
        1    0.000    0.000    0.000    0.000 compiler.py:249(UndeclaredNameVisitor)
        1    0.000    0.000    0.000    0.000 compiler.py:271(FrameIdentifierVisitor)
        1    0.000    0.000    0.000    0.000 compiler.py:357(CompilerExit)
        1    0.000    0.000    0.000    0.000 compiler.py:364(CodeGenerator)
